ICMMID,Confidence.Factor,Mine.Name,Group.Names,Latitude,Longitude,Asset.Type,Country.or.Region,Primary.Commodity,Secondary.Commodity,Other.Commodities
ICMM00363,High,Tocantinzinho,Garimpo Maene Farias;Tocantinzinho,-6.0587454999999997,-56.296634,Mine,Brazil,gold,NA,NA
ICMM00365,High,Igarape Bahia,Igarape Bahia;Vale Serra Norte Complex Mine;Serra Norte,-6.0830596669999997,-50.17569467,Mine,Brazil,gold,iron ore,NA
ICMM00367,Very Low,Rio Pacu,NA,-6.0980999999999996,-57.366,Mine,Brazil,gold,NA,NA
ICMM00369,Very Low,Baixos I,NA,-6.1480600000000001,-37.1489,Mine,Brazil,tungsten,NA,NA
ICMM00370,Very Low,Barra Verde,NA,-6.1647600000000002,-36.4989,Mine,Brazil,tungsten,NA,NA
ICMM00371,Very Low,Sao Francisco,NA,-6.1813900000000004,-36.2822,Mine,Brazil,gold,NA,NA
ICMM00374,Very Low,"Mamoal, Nazario, Igarape Arraias",NA,-6.23142,-55.8493,Mine,Brazil,tin,NA,NA
ICMM00375,Very Low,Brejui,Brejui;Sao Sebastiao Tungsten;Northeast Brazil Tin,-6.2480500000000001,-36.51,Mine,Brazil,tin,tungsten,NA
ICMM00376,Very Low,Saco Dos Veados,NA,-6.2647199999999996,-36.5822,Mine,Brazil,tungsten,NA,NA
ICMM00377,Very Low,Barra Verde and Barra Vermelho Mines,NA,-6.2833300000000003,-36.5355,Mine,Brazil,tungsten,NA,NA
ICMM00378,Very Low,Malhada Limpa Tungsten,NA,-6.2980499999999999,-36.4489,Mine,Brazil,tungsten,NA,NA
ICMM00379,Very Low,Brejui,NA,-6.3147200000000003,-36.5822,Mine,Brazil,tungsten,NA,NA
ICMM00383,Very Low,"Acari, Jardim Do Serido",NA,-6.3647200000000002,-36.6989,Mine,Brazil,tungsten,NA,NA
ICMM00387,Very Low,Garimpo Sao Domingos,NA,-6.3814099999999998,-56.2826,Mine,Brazil,gold,NA,NA
ICMM00389,Very Low,Minera Baribent,NA,-6.3898000000000001,-79.1048,Mine,Peru,barium,NA,NA
ICMM00390,High,Sossego,Sossego;Sossego;Sossego;Sossego,-6.4127279599999998,-50.06341509,Mine,Brazil,copper,gold,NA
ICMM00394,Very Low,"Diniz, Sabuji, Retiro",NA,-6.4480399999999998,-37.3322,Mine,Brazil,tungsten,NA,NA
ICMM00397,Very Low,"Timbauba, Alto Alegre",NA,-6.4647100000000002,-37.7489,Mine,Brazil,tungsten,NA,NA
ICMM00398,Very Low,Garimpo Agua Branca,NA,-6.5147399999999998,-50.2825,Mine,Brazil,tin,NA,NA
ICMM00399,Very Low,Quixere,NA,-6.5538699999999999,-37.1581,Mine,Brazil,tungsten,NA,NA
ICMM00400,Very Low,Maloquinha,NA,-6.6314000000000002,-57.466,Mine,Brazil,tin,NA,NA
ICMM00403,Very Low,Malhada Dos Angicos,NA,-6.6980300000000002,-36.7489,Mine,Brazil,tungsten,NA,NA
ICMM00405,Very Low,Rio Surubim,NA,-6.7147399999999999,-56.2493,Mine,Brazil,tin,NA,NA
ICMM00406,Moderate,Carolina Gubbins,Carolina Gubbins;Tantahuatay,-6.7216649999999998,-78.66681,Mine,Peru,copper,gold,arsenic;lead;silver
ICMM00407,Very Low,Igarape Santo Antonio,NA,-6.7313999999999998,-57.5493,Mine,Brazil,tin,NA,NA
ICMM00410,High,Cerro Corona,Alfa Y Arpon;Los Negros Mine;Hualgayoc;Cerro Corona;Hualgayoc Unit;Cerro Corona,-6.7578309169999997,-78.61678817,Mine,Peru,gold,copper,lead;silver;zinc
ICMM00413,Moderate,Creporizinho,Creporizinho;Creporizinho,-6.8068099999999996,-56.611005,Mine,Brazil,gold,NA,NA
ICMM00416,Very Low,Garimpo Mundico Coelho,NA,-6.8313899999999999,-56.8326,Mine,Brazil,gold,NA,NA
ICMM00418,Very Low,Fazenda Diadema,NA,-6.87277,-50.155,Mine,Brazil,gold,NA,NA
ICMM00419,Very Low,Garimpo Comanxim,NA,-6.87805,-50.448,Mine,Brazil,gold,NA,NA
ICMM00425,Very Low,Punre Copper 24,NA,-7.0064099999999998,-78.2831,Mine,Peru,silver,NA,NA
ICMM00428,Very Low,Rio Marupa,NA,-7.0480499999999999,-56.9159,Mine,Brazil,gold,NA,NA
ICMM00432,Very Low,Cabeceiras Do Rio Novo,NA,-7.2980400000000003,-56.5659,Mine,Brazil,gold,NA,NA
ICMM00433,Very Low,Rio Manicore Jatuarana,NA,-7.3313699999999997,-61.0827,Mine,Brazil,tin,NA,NA
ICMM00436,Very Low,San Judas Tadeo Iv,NA,-7.3841700000000001,-79.0895,Mine,Peru,silver,NA,NA
ICMM00437,Very Low,Colloadar Lead Zinc Mine 11,NA,-7.3980600000000001,-78.5748,Mine,Peru,zinc,NA,NA
ICMM00442,Moderate,Sayapullo,Sayapullo;Sayapullo;Sayaatoc,-7.5992966669999999,-78.47237333,Mine,Peru,copper,silver,gold;lead;antimony;zinc
ICMM00443,Very Low,Algamarca,NA,-7.6147499999999999,-78.0498,Mine,Peru,silver,NA,NA
ICMM00445,Very Low,Pataz Gold 54,NA,-7.7758200000000004,-77.5998,Mine,Peru,gold,copper,NA
ICMM00449,Very Low,Garimpo Mafui,NA,-7.8813500000000003,-62.1494,Mine,Brazil,tin,NA,NA
ICMM00452,Very Low,Salpo Milluachaqui Gold Silver 45,Salpo Milluachaqui Gold Silver 45;Carola,-7.9899000339999997,-78.59269286,Mine,Peru,gold,zinc,NA
ICMM00453,High,Luz Angelica Coco Mine,Luz Angelica Coco Mine;Quiruvilca;Quiruvilca;Quiruvilca,-8.0068735629999992,-78.31863284,Mine,Peru,gold,copper,lead;silver;zinc
ICMM00454,Very Low,Rio Marmelos Mafui,NA,-8.0146800000000002,-61.8494,Mine,Brazil,tin,NA,NA
ICMM00459,Moderate,"Tamboras Y Mundo Nuevo, Minas","Tamboras Y Mundo Nuevo, Minas;Campaccha",-8.0506700000000002,-77.969845,Mine,Peru,copper,gold,lead;molybdenum;silver;tungsten;zinc
ICMM00464,Very Low,Igarape Preto,NA,-8.2479999999999993,-60.8494,Mine,Brazil,tin,NA,NA
ICMM00475,Very Low,"Animas, Mina",NA,-8.8985500000000002,-78.2526,Mine,Peru,silver,NA,NA
ICMM00477,Very Low,"Vale Un Peru, Mina",NA,-8.9979800000000001,-78.0331,Mine,Peru,silver,NA,NA
ICMM00479,Very Low,"Amistad, Mina",NA,-9.0729900000000008,-77.4581,Mine,Peru,silver,NA,NA
ICMM00480,Very Low,Garimpo Central Do Juruena,NA,-9.0812899999999992,-58.566,Mine,Brazil,gold,NA,NA
ICMM00481,Very Low,Poco,NA,-9.1146700000000003,-63.1494,Mine,Brazil,tin,NA,NA
ICMM00483,Very Low,Duduca,NA,-9.1479700000000008,-62.9827,Mine,Brazil,tin,NA,NA
ICMM00484,Very Low,Jacunda,NA,-9.1479700000000008,-62.8994,Mine,Brazil,tin,NA,NA
ICMM00488,Very Low,Santa Barbara,NA,-9.1979600000000001,-63.0494,Mine,Brazil,tin,NA,NA
ICMM00489,Very Low,"Los Brillantes, Mina",NA,-9.2063100000000002,-76.5372,Mine,Peru,silver,NA,NA
ICMM00490,Very Low,"Sao Francisco, Tiririca",NA,-9.2146299999999997,-61.416,Mine,Brazil,tin,NA,NA
ICMM00491,Very Low,Rio Coti,NA,-9.2146399999999993,-65.0161,Mine,Brazil,tin,NA,NA
ICMM00496,Very Low,Morro Potosi,NA,-9.2646300000000004,-62.8661,Mine,Brazil,tin,NA,NA
ICMM00497,Very Low,"El Extrano, Mina",NA,-9.2646499999999996,-77.9164,Mine,Peru,silver,NA,NA
ICMM00499,Very Low,Sao Francisco,NA,-9.2812599999999996,-61.4494,Mine,Brazil,tin,NA,NA
ICMM00500,Very Low,Buena Cashma,Buena Cashma;Mangan,-9.2992299999999997,-77.78195,Mine,Peru,silver,NA,NA
ICMM00502,Very Low,Rio Das Garcas,NA,-9.2979599999999998,-64.1328,Mine,Brazil,tin,NA,NA
ICMM00504,Very Low,"Queimada, Cachoeirinha",NA,-9.3146299999999993,-62.2827,Mine,Brazil,tin,NA,NA
ICMM00506,Very Low,Macisa Mine,NA,-9.3312600000000003,-65.0827,Mine,Brazil,tin,NA,NA
ICMM00508,Very Low,"Poderosa, Mina",NA,-9.3313000000000006,-77.1664,Mine,Peru,silver,NA,NA
ICMM00510,Very Low,"Sao Lourenco, Macisa, Caripunas, Limeira",NA,-9.36463,-64.9994,Mine,Brazil,tin,NA,NA
ICMM00511,Very Low,Rio Jaci Parana,NA,-9.36463,-64.3828,Mine,Brazil,tin,NA,NA
ICMM00512,Very Low,"Curayacu, Mina",NA,-9.3646399999999996,-77.5498,Mine,Peru,silver,NA,NA
ICMM00514,Very Low,"Buriti, Bom Futuro, Olho Diagua",NA,-9.3812899999999999,-62.9161,Mine,Brazil,tin,NA,NA
ICMM00516,Very Low,Caritianas,NA,-9.3979599999999994,-63.0661,Mine,Brazil,tin,NA,NA
ICMM00517,Very Low,"Decorfa Uno, Mina",NA,-9.3979700000000008,-77.5664,Mine,Peru,silver,NA,NA
ICMM00519,Very Low,Ceriumbras Best Group,NA,-9.4479600000000001,-65.1328,Mine,Brazil,tin,NA,NA
ICMM00520,Very Low,Sao Lourenco,NA,-9.4479600000000001,-65.0328,Mine,Brazil,tin,NA,NA
ICMM00521,Very Low,Igarape Alves,NA,-9.4646299999999997,-65.1661,Mine,Brazil,tin,NA,NA
ICMM00522,Very Low,"Contonga, Mina",NA,-9.4646399999999993,-77.4664,Mine,Peru,silver,NA,NA
ICMM00523,Very Low,"El Milagro, Mina",NA,-9.4646399999999993,-77.2331,Mine,Peru,silver,NA,NA
ICMM00524,High,Pierina,Jecanca Lead Zinc Mine 24;Jecana;Pierina;Pierina;Pierina;Pierina,-9.4630570330000001,-77.58471134,Mine,Peru,gold,silver,lead;copper
ICMM00525,Very Low,"Esperada, Mina",NA,-9.4812999999999992,-77.6998,Mine,Peru,silver,NA,NA
ICMM00527,Very Low,"La Esperanza De Huaraz, Mina",NA,-9.4979700000000005,-77.8831,Mine,Peru,silver,copper,NA
ICMM00531,Very Low,Wolfram Fortuna,NA,-9.5079700000000003,-77.1198,Mine,Peru,tungsten,NA,NA
ICMM00532,Very Low,"Chacpar, Mina",NA,-9.5146300000000004,-72.3663,Mine,Peru,silver,NA,NA
ICMM00537,Very Low,Oriente Novo,NA,-9.5479500000000002,-62.4161,Mine,Brazil,tin,NA,NA
ICMM00538,High,Antamina,"Rosita De Oro, Mina;Antamina Mine;Antamina;Antamina;Antamina",-9.5484301459999994,-77.0551033,Mine,Peru,copper,zinc,silver;molybdenum;lead
ICMM00542,Very Low,"Los Tres Reyes, Mina",NA,-9.5812899999999992,-77.497,Mine,Peru,silver,NA,NA
ICMM00543,Very Low,"El Shira, Mina",NA,-9.5812899999999992,-74.843,Mine,Peru,gold,NA,NA
ICMM00544,Very Low,Chagla,NA,-9.5979600000000005,-76.2997,Mine,Peru,barium,NA,NA
ICMM00546,Very Low,"Mi Porvenir, Mina",NA,-9.6479599999999994,-77.1664,Mine,Peru,silver,NA,NA
ICMM00548,Very Low,"Don Lorenzo, Mina",NA,-9.6646300000000007,-77.4998,Mine,Peru,silver,NA,NA
ICMM00549,Very Low,"San Elias, Mina.",NA,-9.6812900000000006,-77.8414,Mine,Peru,silver,NA,NA
ICMM00551,Very Low,"Tambillos, Mina",NA,-9.7012900000000002,-77.2164,Mine,Peru,silver,NA,NA
ICMM00554,Very Low,"Patricia A.P.R., Mina",NA,-9.7312899999999996,-77.3497,Mine,Peru,silver,antimony,NA
ICMM00557,High,Huancapeti,"Santa Elenita, Mina;Huancapeti;Tarugo;Hercules;Tarugo Mine;Aija;Juan Julio No 2, Mina;Huancapeti;Huancapeti",-9.7649752779999996,-77.53752564,Mine,Peru,lead,silver,gold;copper;antimony;zinc
ICMM00559,Very Low,"Santa Deda No 2, Mina",NA,-9.7812900000000003,-77.6331,Mine,Peru,silver,NA,NA
ICMM00560,Very Low,San Carlos,NA,-9.7979400000000005,-63.0327,Mine,Brazil,tin,NA,NA
ICMM00561,Very Low,"San Salvador, Mina","San Salvador, Mina;Alerta, Mina;Juan Julio, Mina",-9.8238800000000008,-77.46103333,Mine,Peru,silver,NA,NA
ICMM00563,Very Low,Taquarras,NA,-9.8287700000000005,-65.2792,Mine,Brazil,gold,NA,NA
ICMM00565,Very Low,"Nuestra Senora Del Rosario, Mina",NA,-9.83962,-77.8414,Mine,Peru,silver,NA,NA
ICMM00566,High,Caraiba,Caraiba Copper Deposit;Caraiba;CaraÃ­ba;MCSA Mining Complex SXEW;Jaguarari Caraiba,-9.8648315750000002,-39.8674088,Mine,Brazil,copper,gold,cobalt;nickel;palladium;platinum;rhodium;silver
ICMM00568,High,Huanzala,"Huanzala;San Jose De Huan.;Huanzala;Monte De Chiripac, Mina;Carmen Del Macizo, Mina;Huanzala Mine;Huanzala (Santa Luisa);Huanzala",-9.8735571390000008,-76.99470062,Mine,Peru,zinc,lead,copper;silver;gold
ICMM00570,Very Low,Sirena Encantadora Mine,NA,-9.8929500000000008,-77.0578,Mine,Peru,silver,NA,NA
ICMM00579,Very Low,Cia Estanifera,NA,-9.9979200000000006,-60.9994,Mine,Brazil,tin,NA,NA
ICMM00583,Very Low,"Gorrioncito, Mina","Gorrioncito, Mina;El Cojo, Mina",-10.02295,-77.4206,Mine,Peru,silver,NA,NA
ICMM00584,Very Low,"Jhon Rafael, Mina",NA,-10.0313,-77.3331,Mine,Peru,silver,NA,NA
ICMM00587,Very Low,Massangana,NA,-10.0479,-63.3827,Mine,Brazil,tin,NA,NA
ICMM00589,Very Low,"San Hilarion, Mina",NA,-10.1479,-77.3331,Mine,Peru,silver,NA,NA
ICMM00590,Very Low,"Labor Pata, Sitio",NA,-10.150700000000001,-76.3797,Mine,Peru,silver,NA,NA
ICMM00591,Moderate,Cordelia Mine,Ccordelia Mine;Pallca;Pallca,-10.197993329999999,-76.96199667,Mine,Peru,lead,zinc,antimony
ICMM00601,Very Low,"Cabeza De Toro, Mina","Cabeza De Toro, Mina;Santa Ana De Tusi, Mina",-10.4396,-76.34765,Mine,Peru,silver,NA,NA
ICMM00602,Very Low,"El Dorado, Mina",NA,-10.4413,-77.3997,Mine,Peru,silver,NA,NA
ICMM00604,Moderate,Unidad Minera Caudalosa,Unidad Minera Caudalosa;Vinchos;Vinchos,-10.442952569999999,-76.27845306,Mine,Peru,silver,lead,copper;zinc
ICMM00605,Very Low,Yana Mallcu,NA,-10.464600000000001,-66.4662,Mine,Bolivia,tin,NA,NA
ICMM00610,Very Low,"Colquipucro, Mina",NA,-10.482900000000001,-76.5145,Mine,Peru,silver,NA,NA
ICMM00621,Very Low,Cortezdredge,NA,-10.5479,-63.7161,Mine,Brazil,tin,NA,NA
ICMM00623,Very Low,Milpo Mine,Milpo Mine;Atacocha,-10.568852379999999,-76.18748222,Mine,Peru,zinc,lead,silver;copper
ICMM00628,High,El Porvenir,"Evita No. 1, Mina;El Porvenir Mine;Milpo 1;Atacocha;El Porvenir (Peru);El Porvenir;Atacocha",-10.599901089999999,-76.20962215,Mine,Peru,zinc,lead,copper;silver;gold
ICMM00631,High,Raura,Raura;Minas Raura De Cajatambo Zinc Lead Deposit 6,-10.6479,-76.733,Mine,Peru,zinc,lead,silver;copper
ICMM00632,High,Cerro de Pasco,"El Pilar, Mina;Cerro De Pasco;Cerro de Pasco;Paragsha;Cerro de Pasco;Cerro de Pasco;Cerro de Pasco;Silver Stockpiles;Paragsha Plant;San Expedito Concentrator;Oxide Plant Plant",-10.672525139999999,-76.25736157,Mine,Peru,silver,zinc,lead;copper;gold;tin
ICMM00633,Moderate,Condorsenga Lead Zinc Mine 4,Condorsenga Lead Zinc Mine 4;Condorsenga,-10.66043,-77.00053,Mine,Peru,lead,zinc,silver;copper
ICMM00637,High,Isquez Lead Zinc Mine 9,Isquez Lead Zinc Mine 9;Mallay;Mallay,-10.685235260000001,-76.8632394,Mine,Peru,lead,zinc,silver;copper
ICMM00638,High,El Brocal (Colquijirca),"Colquijirca, Mina;Colquijirca and Marcapunta Mines;Colquijica;Marcapunta;Tajo Norte;El Brocal (Colquijirca);El Brocal;Colquijirca",-10.753281530000001,-76.26704665,Mine,Peru,zinc,lead,silver;copper;gold
ICMM00639,Very Low,Rio Mato Cavalo,NA,-10.771000000000001,-53.089,Mine,Brazil,platinum,NA,NA
ICMM00643,Very Low,Best Mine,NA,-10.917999999999999,-62.8433,Mine,Brazil,tin,NA,NA
ICMM00645,Very Low,Cia Minera Agregados,NA,-10.9979,-76.9997,Mine,Peru,barium,NA,NA
ICMM00649,Very Low,Huaron Mines,NA,-11.0146,-76.449700000000007,Mine,Peru,silver,zinc,lead;copper;antimony
ICMM00650,Very Low,Madre De Dios Placers,NA,-11.0146,-66.0828,Mine,Bolivia,gold,tin,NA
ICMM00651,Very Low,Macambira,NA,-11.0312,-61.2827,Mine,Brazil,tin,NA,NA
ICMM00652,High,Chungar,Chungar;Chungar;Chungar;Chungar,-11.036575790000001,-76.41728425,Mine,Peru,zinc,lead,copper;silver;gold
ICMM00654,Very Low,Rio 14 De Abril,NA,-11.097899999999999,-60.8327,Mine,Brazil,tin,NA,NA
ICMM00655,Very Low,"Colquisa No. 1, Mina",NA,-11.114000000000001,-76.352,Mine,Peru,silver,NA,NA
ICMM00656,Moderate,Santander,Santander;Chungar Contact Metasomatic Copper 45;Chungar,-11.1223861,-76.5323824,Mine,Peru,zinc,lead,copper;silver;gold
ICMM00662,High,Santander,"San Expedito;Santander;Santander, Peru;Santander, Peru",-11.194649999999999,-76.51065,Mine,Peru,zinc,lead,copper
ICMM00670,Very Low,Rio Roosevelt,NA,-11.2645,-60.5327,Mine,Brazil,tin,NA,NA
ICMM00673,Very Low,Chanchamina Gold Silver Lead Deposit #46,NA,-11.3812,-75.783,Mine,Peru,gold,zinc,NA
ICMM00675,High,Fazenda Brasileiro,Fazenda Brasileiro;Fazenda;Fazenda Brasileiro,-11.45505442,-39.07964863,Mine,Brazil,gold,NA,NA
ICMM00676,Moderate,Maria Teresa,Maria Teresa;Maria Teresa;Maria Teresa,-11.492213400000001,-77.26940444,Mine,Peru,silver,lead,zinc;barium;copper
ICMM00680,Very Low,Vila De Itapura,NA,-11.556100000000001,-40.4614,Mine,Brazil,barium,NA,NA
ICMM00681,High,Morococha,Morococha;Casapalca Gubbins Group;Morococha,-11.581899999999999,-76.17756667,Mine,Peru,silver,lead,tungsten;copper;zinc
ICMM00683,High,Ticlio,Volcan Mines Zinc 25;Casapalca;Ticlio,-11.59838487,-76.21017185,Mine,Peru,zinc,lead,copper;silver
ICMM00685,Very Low,"Tacsacocha, Mina",NA,-11.599299999999999,-76.3306,Mine,Peru,lead,NA,NA
ICMM00686,High,Toromocho,Anticona Y Condenado;Morococha;Morococha;Toromocho;Toromocho,-11.60393996,-76.14208568,Mine,Peru,copper,molybdenum,lead;gold;silver;zinc
ICMM00690,Very Low,"Americana, Mina",NA,-11.642899999999999,-76.2619,Mine,Peru,silver,NA,NA
ICMM00692,High,Yauliyacu,"Casapalca;Coya, Mina;Eusta, Mina;Eloida Ii, Mina;Casapalca Centromin;Yauliyacu;Alpayana (Americana);Los Quenuales;Yauliyacu;Americana",-11.66692565,-76.23136844,Mine,Peru,zinc,lead,silver;copper;tungsten;arsenic
ICMM00694,Very Low,"Colqui Camino, Minera",NA,-11.6671,-76.4997,Mine,Peru,silver,NA,NA
ICMM00695,High,Carahuacra Mine,Carahuacra Mine;Yauli;Carahuacra;Victoria Concentrator,-11.68096297,-76.08856795,Mine,Peru,zinc,lead,silver;copper
ICMM00698,Moderate,Carahuacra,Carahuacra;San Cristobal Mine 5;Carahuacra;San cristobal;Yauli,-11.72738019,-76.06763315,Mine,Peru,copper,cobalt,gold;lead;nickel;silver;zinc
ICMM00705,Very Low,Pacococha,"Pacococha;Peru, Mina;Viso Aruri District Lead Zinc Mine",-11.842333330000001,-76.24413333,Mine,Peru,lead,silver,gold;copper;cadmium
ICMM00706,Very Low,"Sarita, Mina",NA,-11.834,-76.3275,Mine,Peru,silver,NA,NA
ICMM00707,Very Low,"Siberia, Mina",NA,-11.877000000000001,-76.2505,Mine,Peru,silver,NA,NA
ICMM00708,Very Low,Azulcocha,NA,-11.9146,-75.3122,Mine,Peru,zinc,NA,NA
ICMM00710,Very Low,Cochas Region Lead Zinc Mine 48,NA,-11.947900000000001,-75.883,Mine,Peru,zinc,NA,NA
ICMM00711,Very Low,Bar,NA,-11.9979,-76.583,Mine,Peru,barium,NA,NA
ICMM00713,Moderate,Gran Bretana Mine,Gran Bretana Mine;Azulcocha;Azulcocha,-12.062405119999999,-75.6661436,Mine,Peru,copper,gold,lead;manganese;silver;zinc
ICMM00715,Very Low,Unidad San Juan/Millotingo,NA,-12.1312,-76.2997,Mine,Peru,silver,NA,NA
ICMM00720,High,Yauricocha,Yauricocha;Yauricocha;Yauricocha;Yauricocha;Yauricocha,-12.31351398,-75.72066821,Mine,Peru,silver,copper,lead;zinc;gold;arsenic;iron ore
