==================================================
Task Execution Time : 2026-05-23 09:46:35
Task Identifier     : USA_C_4_current_0
T4940 ges_27164_81685_18.jpg: 2026-03-18 Ok
T4942 ges_27164_81687_18.jpg: 2026-03-18 Ok
T4941 ges_27164_81686_18.jpg: 2026-03-18 Ok
T4943 ges_27164_81688_18.jpg: 2026-03-18 Ok
T4944 ges_27164_81689_18.jpg: 2026-03-18 Ok
T4945 ges_27164_81690_18.jpg: 2026-03-18 Ok
T5003 ges_27165_81670_18.jpg: 2026-03-18 Ok
T5004 ges_27165_81671_18.jpg: 2026-03-18 Ok
T5005 ges_27165_81672_18.jpg: 2026-03-18 Ok
T5006 ges_27165_81673_18.jpg: 2026-03-18 Ok
T5007 ges_27165_81674_18.jpg: 2026-03-18 Ok
T5008 ges_27165_81675_18.jpg: 2026-03-18 Ok
T5009 ges_27165_81676_18.jpg: 2026-03-18 Ok
T5010 ges_27165_81677_18.jpg: 2026-03-18 Ok
T5011 ges_27165_81678_18.jpg: 2026-03-18 Ok
T5012 ges_27165_81679_18.jpg: 2026-03-18 Ok
T5013 ges_27165_81680_18.jpg: 2026-03-18 Ok
T5015 ges_27165_81682_18.jpg: 2026-03-18 Ok
T5014 ges_27165_81681_18.jpg: 2026-03-18 Ok
T5017 ges_27165_81684_18.jpg: 2026-03-18 Ok
T5016 ges_27165_81683_18.jpg: 2026-03-18 Ok
T5018 ges_27165_81685_18.jpg: 2026-03-18 Ok
T5020 ges_27165_81687_18.jpg: 2026-03-18 Ok
T5019 ges_27165_81686_18.jpg: 2026-03-18 Ok
T5021 ges_27165_81688_18.jpg: 2026-03-18 Ok
T5022 ges_27165_81689_18.jpg: 2026-03-18 Ok
T5023 ges_27165_81690_18.jpg: 2026-03-18 Ok
T5070 ges_27166_81659_18.jpg: 2026-03-18 Ok
T5072 ges_27166_81661_18.jpg: 2026-03-18 Ok
T5071 ges_27166_81660_18.jpg: 2026-03-18 Ok
T5073 ges_27166_81662_18.jpg: 2026-03-18 Ok
T5075 ges_27166_81664_18.jpg: 2026-03-18 Ok
T5074 ges_27166_81663_18.jpg: 2026-03-18 Ok
T5076 ges_27166_81665_18.jpg: 2026-03-18 Ok
T5077 ges_27166_81666_18.jpg: 2026-03-18 Ok
T5078 ges_27166_81667_18.jpg: 2026-03-18 Ok
T5080 ges_27166_81669_18.jpg: 2026-03-18 Ok
T5079 ges_27166_81668_18.jpg: 2026-03-18 Ok
T5081 ges_27166_81670_18.jpg: 2026-03-18 Ok
T5082 ges_27166_81671_18.jpg: 2026-03-18 Ok
T5083 ges_27166_81672_18.jpg: 2026-03-18 Ok
T5084 ges_27166_81673_18.jpg: 2026-03-18 Ok
T5085 ges_27166_81674_18.jpg: 2026-03-18 Ok
T5086 ges_27166_81675_18.jpg: 2026-03-18 Ok
T5087 ges_27166_81676_18.jpg: 2026-03-18 Ok
T5088 ges_27166_81677_18.jpg: 2026-03-18 Ok
T5089 ges_27166_81678_18.jpg: 2026-03-18 Ok
T5090 ges_27166_81679_18.jpg: 2026-03-18 Ok
T5091 ges_27166_81680_18.jpg: 2026-03-18 Ok
T5092 ges_27166_81681_18.jpg: 2026-03-18 Ok
T5094 ges_27166_81683_18.jpg: 2026-03-18 Ok
T5093 ges_27166_81682_18.jpg: 2026-03-18 Ok
T5095 ges_27166_81684_18.jpg: 2026-03-18 Ok
T5096 ges_27166_81685_18.jpg: 2026-03-18 Ok
T5097 ges_27166_81686_18.jpg: 2026-03-18 Ok
T5098 ges_27166_81687_18.jpg: 2026-03-18 Ok
T5100 ges_27166_81689_18.jpg: 2026-03-18 Ok
T5099 ges_27166_81688_18.jpg: 2026-03-18 Ok
T5101 ges_27166_81690_18.jpg: 2026-03-18 Ok
T5149 ges_27167_81660_18.jpg: 2026-03-18 Ok
T5148 ges_27167_81659_18.jpg: 2026-03-18 Ok
T5150 ges_27167_81661_18.jpg: 2026-03-18 Ok
T5151 ges_27167_81662_18.jpg: 2026-03-18 Ok
T5152 ges_27167_81663_18.jpg: 2026-03-18 Ok
T5154 ges_27167_81665_18.jpg: 2026-03-18 Ok
T5153 ges_27167_81664_18.jpg: 2026-03-18 Ok
T5155 ges_27167_81666_18.jpg: 2026-03-18 Ok
T5156 ges_27167_81667_18.jpg: 2026-03-18 Ok
T5157 ges_27167_81668_18.jpg: 2026-03-18 Ok
T5158 ges_27167_81669_18.jpg: 2026-03-18 Ok
T5159 ges_27167_81670_18.jpg: 2026-03-18 Ok
T5160 ges_27167_81671_18.jpg: 2026-03-18 Ok
T5161 ges_27167_81672_18.jpg: 2026-03-18 Ok
T5162 ges_27167_81673_18.jpg: 2026-03-18 Ok
T5163 ges_27167_81674_18.jpg: 2026-03-18 Ok
T5164 ges_27167_81675_18.jpg: 2026-03-18 Ok
T5165 ges_27167_81676_18.jpg: 2026-03-18 Ok
T5166 ges_27167_81677_18.jpg: 2026-03-18 Ok
T5167 ges_27167_81678_18.jpg: 2026-03-18 Ok
T5168 ges_27167_81679_18.jpg: 2026-03-18 Ok
T5169 ges_27167_81680_18.jpg: 2026-03-18 Ok
T5171 ges_27167_81682_18.jpg: 2026-03-18 Ok
T5170 ges_27167_81681_18.jpg: 2026-03-18 Ok
T5172 ges_27167_81683_18.jpg: 2026-03-18 Ok
T5173 ges_27167_81684_18.jpg: 2026-03-18 Ok
T5174 ges_27167_81685_18.jpg: 2026-03-18 Ok
T5175 ges_27167_81686_18.jpg: 2026-03-18 Ok
T5176 ges_27167_81687_18.jpg: 2026-03-18 Ok
T5178 ges_27167_81689_18.jpg: 2026-03-18 Ok
T5177 ges_27167_81688_18.jpg: 2026-03-18 Ok
T5179 ges_27167_81690_18.jpg: 2026-03-18 Ok
T5304 ges_27169_81659_18.jpg: 2026-03-18 Ok
T5306 ges_27169_81661_18.jpg: 2026-03-18 Ok
T5305 ges_27169_81660_18.jpg: 2026-03-18 Ok
T5307 ges_27169_81662_18.jpg: 2026-03-18 Ok
T5308 ges_27169_81663_18.jpg: 2026-03-18 Ok
T5309 ges_27169_81664_18.jpg: 2026-03-18 Ok
T5310 ges_27169_81665_18.jpg: 2026-03-18 Ok
T5311 ges_27169_81666_18.jpg: 2026-03-18 Ok
T5312 ges_27169_81667_18.jpg: 2026-03-18 Ok
T5313 ges_27169_81668_18.jpg: 2026-03-18 Ok
T5314 ges_27169_81669_18.jpg: 2026-03-18 Ok
T5315 ges_27169_81670_18.jpg: 2026-03-18 Ok
T5316 ges_27169_81671_18.jpg: 2026-03-18 Ok
T5317 ges_27169_81672_18.jpg: 2026-03-18 Ok
T5318 ges_27169_81673_18.jpg: 2026-03-18 Ok
T5319 ges_27169_81674_18.jpg: 2026-03-18 Ok
T5320 ges_27169_81675_18.jpg: 2026-03-18 Ok
T5321 ges_27169_81676_18.jpg: 2026-03-18 Ok
T5322 ges_27169_81677_18.jpg: 2026-03-18 Ok
T5323 ges_27169_81678_18.jpg: 2026-03-18 Ok
T5324 ges_27169_81679_18.jpg: 2026-03-18 Ok
T5325 ges_27169_81680_18.jpg: 2026-03-18 Ok
T5326 ges_27169_81681_18.jpg: 2026-03-18 Ok
T5327 ges_27169_81682_18.jpg: 2026-03-18 Ok
T5328 ges_27169_81683_18.jpg: 2026-03-18 Ok
T5329 ges_27169_81684_18.jpg: 2026-03-18 Ok
T5330 ges_27169_81685_18.jpg: 2026-03-18 Ok
T5331 ges_27169_81686_18.jpg: 2026-03-18 Ok
T5332 ges_27169_81687_18.jpg: 2026-03-18 Ok
T5333 ges_27169_81688_18.jpg: 2026-03-18 Ok
T5334 ges_27169_81689_18.jpg: 2026-03-18 Ok
T5335 ges_27169_81690_18.jpg: 2026-03-18 Ok
T5382 ges_27170_81659_18.jpg: 2026-03-18 Ok
T5383 ges_27170_81660_18.jpg: 2026-03-18 Ok
T5384 ges_27170_81661_18.jpg: 2026-03-18 Ok
T5385 ges_27170_81662_18.jpg: 2026-03-18 Ok
T5386 ges_27170_81663_18.jpg: 2026-03-18 Ok
T5388 ges_27170_81665_18.jpg: 2026-03-18 Ok
T5387 ges_27170_81664_18.jpg: 2026-03-18 Ok
T5389 ges_27170_81666_18.jpg: 2026-03-18 Ok
T5390 ges_27170_81667_18.jpg: 2026-03-18 Ok
T5391 ges_27170_81668_18.jpg: 2026-03-18 Ok
T5392 ges_27170_81669_18.jpg: 2026-03-18 Ok
T5393 ges_27170_81670_18.jpg: 2026-03-18 Ok
T5394 ges_27170_81671_18.jpg: 2026-03-18 Ok
T5395 ges_27170_81672_18.jpg: 2026-03-18 Ok
T5396 ges_27170_81673_18.jpg: 2026-03-18 Ok
T5397 ges_27170_81674_18.jpg: 2026-03-18 Ok
T5398 ges_27170_81675_18.jpg: 2026-03-18 Ok
T5399 ges_27170_81676_18.jpg: 2026-03-18 Ok
T5400 ges_27170_81677_18.jpg: 2026-03-18 Ok
T5401 ges_27170_81678_18.jpg: 2026-03-18 Ok
T5402 ges_27170_81679_18.jpg: 2026-03-18 Ok
T5403 ges_27170_81680_18.jpg: 2026-03-18 Ok
T5404 ges_27170_81681_18.jpg: 2026-03-18 Ok
T5405 ges_27170_81682_18.jpg: 2026-03-18 Ok
T5406 ges_27170_81683_18.jpg: 2026-03-18 Ok
T5407 ges_27170_81684_18.jpg: 2026-03-18 Ok
T5408 ges_27170_81685_18.jpg: 2026-03-18 Ok
T5409 ges_27170_81686_18.jpg: 2026-03-18 Ok
T5410 ges_27170_81687_18.jpg: 2026-03-18 Ok
T5411 ges_27170_81688_18.jpg: 2026-03-18 Ok
T5412 ges_27170_81689_18.jpg: 2026-03-18 Ok
T5413 ges_27170_81690_18.jpg: 2026-03-18 Ok
T5460 ges_27171_81659_18.jpg: 2026-03-18 Ok
T5461 ges_27171_81660_18.jpg: 2026-03-18 Ok
T5462 ges_27171_81661_18.jpg: 2026-03-18 Ok
T5463 ges_27171_81662_18.jpg: 2026-03-18 Ok
T5464 ges_27171_81663_18.jpg: 2026-03-18 Ok
T5465 ges_27171_81664_18.jpg: 2026-03-18 Ok
T5466 ges_27171_81665_18.jpg: 2026-03-18 Ok
T5467 ges_27171_81666_18.jpg: 2026-03-18 Ok
T5468 ges_27171_81667_18.jpg: 2026-03-18 Ok
T5469 ges_27171_81668_18.jpg: 2026-03-18 Ok
T5470 ges_27171_81669_18.jpg: 2026-03-18 Ok
T5471 ges_27171_81670_18.jpg: 2026-03-18 Ok
T5472 ges_27171_81671_18.jpg: 2026-03-18 Ok
T5473 ges_27171_81672_18.jpg: 2026-03-18 Ok
T5474 ges_27171_81673_18.jpg: 2026-03-18 Ok
T5475 ges_27171_81674_18.jpg: 2026-03-18 Ok
T5476 ges_27171_81675_18.jpg: 2026-03-18 Ok
T5477 ges_27171_81676_18.jpg: 2026-03-18 Ok
T5478 ges_27171_81677_18.jpg: 2026-03-18 Ok
T5479 ges_27171_81678_18.jpg: 2026-03-18 Ok
T5480 ges_27171_81679_18.jpg: 2026-03-18 Ok
T5481 ges_27171_81680_18.jpg: 2026-03-18 Ok
T5482 ges_27171_81681_18.jpg: 2026-03-18 Ok
T5483 ges_27171_81682_18.jpg: 2026-03-18 Ok
T5485 ges_27171_81684_18.jpg: 2026-03-18 Ok
T5484 ges_27171_81683_18.jpg: 2026-03-18 Ok
T5486 ges_27171_81685_18.jpg: 2026-03-18 Ok
T5487 ges_27171_81686_18.jpg: 2026-03-18 Ok
T5488 ges_27171_81687_18.jpg: 2026-03-18 Ok
T5489 ges_27171_81688_18.jpg: 2026-03-18 Ok
T5490 ges_27171_81689_18.jpg: 2026-03-18 Ok
T5491 ges_27171_81690_18.jpg: 2026-03-18 Ok
T5226 ges_27168_81659_18.jpg: 2026-03-18 Ok
T5227 ges_27168_81660_18.jpg: 2026-03-18 Ok
T5228 ges_27168_81661_18.jpg: 2026-03-18 Ok
T5229 ges_27168_81662_18.jpg: 2026-03-18 Ok
T5230 ges_27168_81663_18.jpg: 2026-03-18 Ok
T5231 ges_27168_81664_18.jpg: 2026-03-18 Ok
T5232 ges_27168_81665_18.jpg: 2026-03-18 Ok
T5233 ges_27168_81666_18.jpg: 2026-03-18 Ok
T5234 ges_27168_81667_18.jpg: 2026-03-18 Ok
T5235 ges_27168_81668_18.jpg: 2026-03-18 Ok
T5236 ges_27168_81669_18.jpg: 2026-03-18 Ok
T5237 ges_27168_81670_18.jpg: 2026-03-18 Ok
T5239 ges_27168_81672_18.jpg: 2026-03-18 Ok
T5238 ges_27168_81671_18.jpg: 2026-03-18 Ok
T5240 ges_27168_81673_18.jpg: 2026-03-18 Ok
T5241 ges_27168_81674_18.jpg: 2026-03-18 Ok
T5242 ges_27168_81675_18.jpg: 2026-03-18 Ok
T5243 ges_27168_81676_18.jpg: 2026-03-18 Ok
T5244 ges_27168_81677_18.jpg: 2026-03-18 Ok
T5245 ges_27168_81678_18.jpg: 2026-03-18 Ok
T5246 ges_27168_81679_18.jpg: 2026-03-18 Ok
T5247 ges_27168_81680_18.jpg: 2026-03-18 Ok
T5249 ges_27168_81682_18.jpg: 2026-03-18 Ok
T5248 ges_27168_81681_18.jpg: 2026-03-18 Ok
T5250 ges_27168_81683_18.jpg: 2026-03-18 Ok
T5251 ges_27168_81684_18.jpg: 2026-03-18 Ok
T5253 ges_27168_81686_18.jpg: 2026-03-18 Ok
T5252 ges_27168_81685_18.jpg: 2026-03-18 Ok
T5254 ges_27168_81687_18.jpg: 2026-03-18 Ok
T5255 ges_27168_81688_18.jpg: 2026-03-18 Ok
T5256 ges_27168_81689_18.jpg: 2026-03-18 Ok
T5257 ges_27168_81690_18.jpg: 2026-03-18 Ok


